round,date,time,type,place,teams,GF,GA
1,2025.03.23（日）,18:00,AWAY,戸吹スポーツ公園,八王子FC,4,1
2,2025.03.30（日）,15:00,HOME,清瀬内山公園サッカー場A面,CERVEZA FC東京,0,0
3,2025.04.13（日）,12:00,AWAY,東京海上多摩グラウンド,東京海上フットボールクラブ,2,3
4,2025.04.20（日）,17:05,HOME,つくば万博G,駒澤大学GIOCO世田谷,0,1
5,2025.04.29（火）,19:05,AWAY,豊島区立千早スポーツフィールド,FC PHOENIX,1,0
6,2025.05.11（日）,18:35,HOME,東京朝鮮中高級学校,FC KOREA,1,2
7,2025.05.18（日）,15:05,AWAY,つくば万博G,FLUTTO-FLUTTO,2,2
8,2025.05.31（土）,17:30,HOME,小石川運動場,Intel Biloba Tokyo,1,3
9,2025.07.06（日）,17:00,HOME,文化杉並学園八王子G,アローレ八王子,0,2
10,2025.07.13（日）,17:45,AWAY,みらい平G,東京蹴球団,0,1
11,2025.08.31（日）,19:05,AWAY,Tフィールド,CriacaoShinjuku Procriar,0,3
12,2025.09.14（日）,17:00,AWAY,早稲田大学東伏見G,早稲田大学ア式蹴球部FC,1,3
13,2025.09.21（日）,18:05,AWAY,レッズランドA2,TOKYO2020FC,0,0
14,2025.09.28（日）,19:00,HOME,三菱養和会調布G,三菱養和SC,1,0
15,2025.10.05（日）,16:05,HOME,つくば万博G,アストラ倶楽部,0,1
16,2025.10.12（日）,15:05,AWAY,Tフィールド,東京ベイFC,0,3
17,2025.10.18（土）,19:00,HOME,東京朝鮮中高級学校,FC. BANDELIE,2,1